produto,ANO,Total_quantidade (Litros)
Licorosos,1970,282500.0
Mosto simples,1970,7170736.0
Bagaceira,1970,961290.0
Destilado,1970,830030.0
Borra líquida,1970,3847673.0
Suco de uva integral,1970,1097771.0
Rosado,1970,42981052.0
Tinto,1970,181815609.0
Branco,1970,16311289.0
Mistelas,1970,1072100.0
Tinto,1971,128399035.0
Borra líquida,1971,3565644.0
Compostos,1971,45000.0
Licorosos,1971,270000.0
Rosado,1971,32635469.0
Mistelas,1971,818400.0
Mosto simples,1971,7646774.0
Branco,1971,16816209.0
Bagaceira,1971,913200.0
Suco de uva integral,1971,2296654.0
Vinagre,1971,21500.0
Bagaceira,1972,755350.0
Rosado,1972,27966634.0
Mistelas,1972,871200.0
Tinto,1972,124963763.0
Vinagre,1972,8200.0
Mosto simples,1972,6051822.0
Suco de uva integral,1972,3509440.0
Licorosos,1972,254600.0
Branco,1972,15101671.0
Borra líquida,1972,3015037.0
Compostos,1972,1358300.0
Mosto simples,1973,21779327.0
Licorosos,1973,176500.0
Branco,1973,8173970.0
Tinto,1973,92008644.0
Bagaceira,1973,661270.0
Mistelas,1973,512900.0
Rosado,1973,28896141.0
Borra líquida,1973,3559922.0
Compostos,1973,1628000.0
Borra líquida,1974,5136979.0
Mosto simples,1974,41346735.0
Mistelas,1974,826300.0
Branco,1974,23066239.0
Vinagre,1974,35300.0
Rosado,1974,45861088.0
Tinto,1974,156592142.0
Licorosos,1974,135000.0
Bagaceira,1974,424620.0
Branco,1975,23375202.0
Borra líquida,1975,4624839.0
Mistelas,1975,223000.0
Tinto,1975,159005240.0
Licorosos,1975,24000.0
Rosado,1975,34445357.0
Mosto simples,1975,48185206.0
Bagaceira,1975,576098.0
Tinto,1976,130765324.0
Rosado,1976,26554572.0
Borra líquida,1976,3393173.0
Licorosos,1976,4400.0
Mosto simples,1976,18220527.0
Vinagre,1976,288000.0
Branco,1976,21746132.0
Bagaceira,1976,705912.0
Jeropiga,1976,107500.0
Mistelas,1976,205500.0
Rosado,1977,40327547.0
Branco,1977,25363618.0
Mistelas,1977,553200.0
Tinto,1977,170933584.0
Mosto simples,1977,22097156.0
Bagaceira,1977,828000.0
Licorosos,1977,525000.0
Jeropiga,1977,12500.0
Tinto,1978,177918034.0
Mistelas,1978,242150.0
Licorosos,1978,479971.0
Bagaceira,1978,698200.0
Rosado,1978,36166739.0
Mosto simples,1978,40052456.0
Compostos,1978,75000.0
Jeropiga,1978,60000.0
Branco,1978,22719829.0
Licorosos,1979,34000.0
Tinto,1979,169092892.0
Bagaceira,1979,938090.0
Mosto simples,1979,34318456.0
Jeropiga,1979,20000.0
Branco,1979,32873527.0
Mistelas,1979,60300.0
Rosado,1979,55416273.0
Branco,1980,24690024.0
Mosto simples,1980,37553414.0
Tinto,1980,110956496.0
Rosado,1980,26402328.0
Borra líquida,1981,3767852.0
Tinto,1981,150193138.0
Mosto simples,1981,48762185.0
Branco,1981,40076015.0
Rosado,1981,45208622.0
Tinto,1982,203337048.0
Branco,1982,50205911.0
Mosto simples,1982,37506770.0
Rosado,1982,38665186.0
Tinto,1983,101421042.0
Rosado,1983,23101057.0
Mosto simples,1983,27314628.0
Branco,1983,36356257.0
Mosto simples,1984,17331744.0
Tinto,1984,135392630.0
Branco,1984,49898189.0
Rosado,1984,40678791.0
Suco de uva integral,1985,3544706.0
Vinho orgânico,1985,254000.0
Brandy,1985,13000.0
Mosto concentrado,1985,354707.0
Vinagre,1985,104707.0
Mosto simples,1985,10637557.0
Branco,1985,67690150.0
Borra líquida,1985,5095798.0
Jeropiga,1985,234500.0
Bagaceira,1985,299500.0
Rosado,1985,38603829.0
Tinto,1985,236080369.0
Destilado,1985,342650.0
Suco de uva concentrado,1985,3086961.0
Bagaceira,1986,156100.0
Branco,1986,51666328.0
Vinho orgânico,1986,171147.0
Jeropiga,1986,173000.0
Destilado,1986,222230.0
Borra líquida,1986,6357648.0
Rosado,1986,23554713.0
Mosto concentrado,1986,295800.0
Tinto,1986,131049661.0
Suco de uva integral,1986,2116507.0
Suco de uva concentrado,1986,2197261.0
Mistelas,1986,378400.0
Mosto simples,1986,7031320.0
Vinho orgânico,1987,219100.0
Jeropiga,1987,122000.0
Bagaceira,1987,325600.0
Mosto simples,1987,7821040.0
Branco,1987,62930401.0
Rosado,1987,26076816.0
Mistelas,1987,402600.0
Borra líquida,1987,5142446.0
Suco de uva concentrado,1987,3206776.0
Mosto concentrado,1987,400500.0
Suco de uva integral,1987,2262240.0
Tinto,1987,108761233.0
Destilado,1987,472576.0
Mosto concentrado,1988,384200.0
Suco de uva concentrado,1988,5568870.0
Brandy,1988,5216.0
Jeropiga,1988,61000.0
Branco,1988,89101892.0
Borra líquida,1988,1953488.0
